Episode,Avg_Reward,Avg_Q0,Avg_J_Value,Max_Coverage,Action1_Ratio,Valid_Assign_Rate,Avg_P_Dmg,Avg_P_Final,Loss_Critic,Loss_Actor,Entropy
1420,57.7271,53.6639,38.5661,10,0.1562,1.0000,0.8570,0.8570,1.416156,-0.003320,0.105232
1430,58.3203,53.9581,50.1479,10,0.1024,1.0000,0.8998,0.8998,1.483635,-0.005597,0.136007
1440,58.8066,54.2183,49.0084,10,0.1100,1.0000,0.8510,0.8510,1.154976,-0.000927,0.092710
1450,59.0575,54.0966,35.2451,6,0.0260,1.0000,0.8909,0.8909,11.435732,0.009442,0.061087
1460,58.4302,54.2794,35.6110,9,0.1611,1.0000,0.8696,0.8696,1.366952,-0.008513,0.157812
1470,56.8648,53.3787,41.3102,8,0.2061,1.0000,0.8127,0.8127,0.000000,0.000000,0.000000
1480,55.7535,52.7849,43.7510,9,0.2105,1.0000,0.7576,0.7576,0.000000,0.000000,0.000000
1490,55.0390,51.8344,45.0912,10,0.2098,1.0000,0.8123,0.8123,2.731562,-0.012960,0.220347
1500,55.6559,50.5909,46.4980,10,0.1050,1.0000,0.8345,0.8345,1.825392,-0.002387,0.121993
1510,57.2089,51.0181,46.7695,10,0.0892,1.0000,0.7454,0.7454,0.683409,0.006459,0.075617
1520,58.7226,52.2464,51.8693,10,0.0985,1.0000,0.8648,0.8648,0.416143,0.000126,0.103172
1530,59.8391,53.8074,48.6577,10,0.1359,1.0000,0.8727,0.8727,0.588050,0.002382,0.143459
1540,60.3561,54.8382,38.4564,10,0.0670,1.0000,0.8180,0.8180,0.619175,-0.003596,0.095501
1550,60.2567,55.3557,44.0119,10,0.0739,1.0000,0.7879,0.7879,1.337302,-0.007079,0.083985
1560,60.1124,54.8663,42.0090,10,0.1237,1.0000,0.8460,0.8460,2.941494,0.006534,0.141826
1570,60.3270,54.4905,52.1809,10,0.1111,1.0000,0.8413,0.8413,1.415406,-0.001054,0.136421
1580,60.5108,54.8966,51.0686,10,0.0696,1.0000,0.8508,0.8508,1.421370,-0.001642,0.059845
1590,60.4630,55.1943,49.0559,10,0.0955,1.0000,0.7363,0.7363,1.085839,-0.004290,0.054453
1600,60.8399,56.2651,48.1129,10,0.0702,1.0000,0.7972,0.7972,0.553891,0.007546,0.059756
1610,61.0904,57.4390,46.9126,10,0.0913,1.0000,0.8406,0.8406,0.622912,0.009354,0.097447
1620,60.6572,58.0991,45.5035,10,0.0966,1.0000,0.8534,0.8534,0.418178,0.005561,0.078169
1630,60.4691,57.2544,32.7277,10,0.1020,1.0000,0.8495,0.8495,0.650099,-0.012903,0.108877
1640,60.6025,56.8986,47.6436,10,0.0964,1.0000,0.8248,0.8248,0.862558,0.003260,0.097086
1650,59.8406,56.7120,46.7692,10,0.0447,1.0000,0.8955,0.8955,0.414712,-0.002212,0.033150
1660,59.3308,55.7013,47.7231,10,0.1223,1.0000,0.7415,0.7415,1.263530,0.007735,0.155688
1670,59.3275,54.8843,40.5435,10,0.2154,1.0000,0.7917,0.7917,0.000000,0.000000,0.000000
1680,59.2443,54.3661,47.0104,10,0.1082,1.0000,0.7160,0.7160,0.000000,0.000000,0.000000
1690,59.1575,54.3356,40.7950,10,0.0780,1.0000,0.8984,0.8984,0.000000,0.000000,0.000000
1700,59.0703,54.0161,48.6169,10,0.0591,1.0000,0.8646,0.8646,0.000000,0.000000,0.000000
1710,58.9889,54.1690,47.3052,10,0.0560,1.0000,0.8615,0.8615,0.000000,0.000000,0.000000
1720,58.9873,54.7423,47.3054,10,0.0596,1.0000,0.8885,0.8885,0.000000,0.000000,0.000000
1730,58.7588,55.1187,46.8691,10,0.0533,1.0000,0.8997,0.8997,0.000000,0.000000,0.000000
1740,58.4464,54.8364,46.9341,10,0.0630,1.0000,0.7808,0.7808,0.000000,0.000000,0.000000
1750,58.8999,54.2039,48.3166,10,0.0488,1.0000,0.8857,0.8857,0.000000,0.000000,0.000000
1760,58.9131,54.1124,48.2375,10,0.1264,1.0000,0.8948,0.8948,0.000000,0.000000,0.000000
1770,59.3361,53.6242,41.7529,10,0.1412,1.0000,0.8095,0.8095,0.000000,0.000000,0.000000
1780,59.7023,53.7593,48.6130,9,0.2029,1.0000,0.7853,0.7853,0.000000,0.000000,0.000000
1790,60.1118,54.2453,48.5275,10,0.1453,1.0000,0.8263,0.8263,0.000000,0.000000,0.000000
1800,60.5558,54.6623,46.7575,9,0.1806,1.0000,0.8457,0.8457,0.000000,0.000000,0.000000
1810,60.7183,55.2553,51.5974,10,0.1677,1.0000,0.8446,0.8446,0.000000,0.000000,0.000000
1820,60.2932,55.2933,29.9644,9,0.2014,1.0000,0.8339,0.8339,0.000000,0.000000,0.000000
1830,59.6705,54.8281,48.8752,10,0.1726,1.0000,0.7908,0.7908,0.000000,0.000000,0.000000
1840,60.0895,54.4519,46.2273,10,0.1444,1.0000,0.8139,0.8139,0.000000,0.000000,0.000000
1850,60.2824,54.9588,51.4379,10,0.1728,1.0000,0.7577,0.7577,0.000000,0.000000,0.000000
1860,60.6361,54.9113,48.6338,10,0.1469,1.0000,0.8448,0.8448,0.000000,0.000000,0.000000
1870,60.7135,55.1702,44.4230,9,0.2339,1.0000,0.8407,0.8407,0.000000,0.000000,0.000000
1880,59.5150,55.6163,27.2986,4,0.0376,1.0000,0.6837,0.6837,11.040045,-0.001356,0.067929
1890,57.4572,54.5365,43.0598,10,0.1394,1.0000,0.7996,0.7996,2.676060,0.003188,0.090601
1900,56.9756,52.8140,42.2950,9,0.1543,1.0000,0.7996,0.7996,0.649427,-0.007664,0.170478
1910,56.7065,52.2963,47.9421,10,0.0952,1.0000,0.8719,0.8719,0.905923,-0.000411,0.101994
1920,56.6099,51.9065,45.3602,9,0.0791,1.0000,0.8288,0.8288,0.357137,-0.006128,0.093387
1930,58.5321,51.6279,40.5031,10,0.0935,1.0000,0.8965,0.8965,1.036663,0.001828,0.124958
1940,59.9699,52.7353,37.4111,8,0.0449,1.0000,0.8671,0.8671,1.705950,-0.007082,0.072459
1950,59.4738,53.7191,45.5622,10,0.1140,1.0000,0.8506,0.8506,1.396803,-0.005254,0.156229
1960,59.7926,53.6282,48.6414,10,0.1800,1.0000,0.8946,0.8946,1.541423,-0.003932,0.217004
1970,60.3631,53.8900,51.3670,10,0.0845,1.0000,0.8885,0.8885,1.364012,-0.012095,0.152641
1980,59.8436,53.9662,47.4903,10,0.0583,1.0000,0.9076,0.9076,0.487501,0.005897,0.046228
1990,59.7802,53.8984,43.2832,10,0.1250,1.0000,0.8948,0.8948,0.361099,-0.004780,0.136023
2000,60.3194,54.3651,44.6092,9,0.1477,1.0000,0.7976,0.7976,0.576003,-0.006213,0.119472
